"iteration","Bx","By","EC"
5468,0.4573338159,-0.4515326789,0
5469,0.4538274869,-0.4421727942,0
5470,0.4549846927,-0.4518234222,0
5471,0.4514904632,-0.4419651969,0
5472,0.4625281832,-0.453847047,0
5473,0.4545643579,-0.4490414327,0
5474,0.4547987658,-0.4819300854,0
5475,0.4520092852,-0.4615745038,0
5476,0.4235256183,-0.445177697,0
5477,0.438913775,-0.4489445118,0
5478,0.4425517569,-0.4549945765,0
5479,0.4716433199,-0.4528537048,0
5480,0.439486504,-0.4477302311,0
5481,0.4219033714,-0.4324692095,0
5482,0.4352316702,-0.4664286207,0
5483,0.4465329342,-0.4469378741,0
5484,0.4518249231,-0.451263304,0
5485,0.446973176,-0.45277361,0
5486,0.4336164667,-0.4540337283,0
5487,0.4619654243,-0.4442242391,0
5488,0.4557279064,-0.4708904607,0
5489,0.4324378733,-0.4440322222,0
5490,0.4409750834,-0.4654617521,0
5491,0.4283074775,-0.4384999756,0
5492,0.4304448828,-0.4504185995,0
5493,0.4486332051,-0.4258451253,0
5494,0.4560183178,-0.4646643899,0
5495,0.4857429905,-0.4729333456,0
5496,0.4701448898,-0.4455971691,0
5497,0.450875485,-0.4575547433,0
5498,0.4633295469,-0.454070166,0
5499,0.453624482,-0.460259063,0
5500,0.4551136809,-0.4692603719,0
5501,0.426664364,-0.4545460076,0
5502,0.4410553487,-0.4680170814,0
5503,0.4543085947,-0.4752912808,0
5504,0.4543841591,-0.4780178628,0
5505,0.4484694153,-0.4316303669,0
5506,0.4115451565,-0.4430026552,0
5507,0.4487823364,-0.4567398134,0
5508,0.4372262484,-0.4208830457,0
5509,0.4260236612,-0.4351194067,0
5510,0.4119784224,-0.4323960278,0
5511,0.4075363125,-0.441944858,0
5512,0.4340142391,-0.4438833899,0
5513,0.4316303647,-0.4264593876,0
5514,0.4366136112,-0.4536291138,0
5515,0.4374418383,-0.461576235,0
5516,0.4630553761,-0.4625859449,0
5517,0.447743472,-0.4558588712,0
5518,0.433663448,-0.4295031991,0
5519,0.4442024969,-0.4608676423,0
5520,0.4445625025,-0.4473607465,0
5521,0.4550266414,-0.4182858833,0
5522,0.4510021519,-0.4385452302,0
5523,0.4761770986,-0.4354384981,0
5524,0.4255822862,-0.4558134718,0
5525,0.4351603747,-0.4377322551,0
5526,0.4528385773,-0.4429111895,0
5527,0.4131951149,-0.4432079886,0
5528,0.4239434501,-0.4436634347,0
5529,0.4473214991,-0.4413845593,0
5530,0.4299144304,-0.4454174018,0
5531,0.4535478269,-0.4612400802,0
5532,0.448110296,-0.4619943114,0
5533,0.4440307933,-0.4565325413,0
5534,0.4615388267,-0.4300399856,0
5535,0.4266341179,-0.451335118,0
5536,0.4252104461,-0.4317862094,0
5537,0.4373370533,-0.443003431,0
5538,0.4664513361,-0.4571353881,0
5539,0.4442848859,-0.4581111408,0
5540,0.4384624394,-0.4496599095,0
5541,0.429464295,-0.4521831099,0
5542,0.4463609762,-0.4610471952,0
5543,0.4150477423,-0.4721472856,0
5544,0.4265841422,-0.4533650505,0
5545,0.4385663102,-0.4377774597,0
5546,0.4405708614,-0.428077253,0
5547,0.439022587,-0.4273282315,0
5548,0.4517490091,-0.4303873619,0
5549,0.4620236215,-0.4600988389,0
5550,0.4284098058,-0.4437823701,0
5551,0.4718037639,-0.4383141452,0
5552,0.4603064773,-0.4339523384,0
5553,0.4628718525,-0.4428162697,0
5554,0.4344838133,-0.4288909181,0
5555,0.458404773,-0.4218047935,0
5556,0.4458174892,-0.4292468234,0
5557,0.4383064266,-0.4500059402,0
5558,0.4265616729,-0.4344284988,0
5559,0.4267437825,-0.4637843462,0
5560,0.4353749408,-0.4335548007,0
5561,0.4501424511,-0.4152631665,0
5562,0.4444884038,-0.4443910918,0
5563,0.4484005006,-0.4485888281,0
5564,0.4510209781,-0.4499977518,0
5565,0.4021504475,-0.4533695318,0
5566,0.4623013972,-0.4349858939,0
5567,0.4345574271,-0.4350227049,0
5568,0.4470212931,-0.4753988384,0
5569,0.4530908201,-0.4272926499,0
5570,0.4533783337,-0.430395567,0
5571,0.4410810904,-0.4442557429,0
5572,0.4399366966,-0.4582286242,0
5573,0.4443596829,-0.4630506878,0
5574,0.4498452546,-0.4533755424,0
5575,0.4608633674,-0.4500363976,0
5576,0.4383242812,-0.4478575606,0
5577,0.4678109519,-0.4818351769,0
5578,0.4644191618,-0.449953692,0
5579,0.445820373,-0.4494755328,0
5580,0.4412078674,-0.4699713737,0
5581,0.4490045064,-0.4501990976,0
5582,0.450594404,-0.4817863445,0
5583,0.4449988132,-0.4476048236,0
5584,0.4434914854,-0.4739925327,0
5585,0.4819138927,-0.4464396789,0
